Title,Author,ISBN-13
"Lincoln in the Bardo",George Saunders,9780812995340
"Sing, Unburied, Sing",Jesmyn Ward,9781501126062
"Little Fires Everywhere",Celeste Ng,9780735224292
"Pachinko",Min Jin Lee,9781455563913
"Exit West",Mohsin Hamid,9780735212176
"The Power",Naomi Alderman,9780316547612
"A Gentleman in Moscow",Amor Towles,9780670026197
"The Hate U Give",Angie Thomas,9780062498533
"Before We Were Yours",Lisa Wingate,9780425284681
"The Sun and Her Flowers",Rupi Kaur,9781449486792
"Artemis",Andy Weir,9780553448122
"Origin",Dan Brown,9780385514238
"Sleeping Beauties",Stephen King & Owen King,9781501163425
"A Court of Wings and Ruin",Sarah J. Maas,9781619634497
"Turtles All the Way Down",John Green,9780525555360
"The Woman in Cabin 10",Ruth Ware,9781501132933
"The Girl Before",JP Delaney,9780425285046
"Into the Water",Paula Hawkins,9780735211209
"The Rooster Bar",John Grisham,9780385541179
"The Midnight Line",Lee Child,9780399593482
"Two Kinds of Truth",Michael Connelly,9780316225908
"Hardcore Twenty-Four",Janet Evanovich,9780399179236
"End Game",David Baldacci,9781538761502
"The People vs. Alex Cross",James Patterson,9780316273909
"Killers of the Flower Moon",David Grann,9780385534246
"Hillbilly Elegy",J.D. Vance,9780062300547
"Astrophysics for People in a Hurry",Neil deGrasse Tyson,9780393609399
"Homo Deus: A Brief History of Tomorrow",Yuval Noah Harari,9780062464330
"The Glass Castle",Jeannette Walls,9780743247542
"The Subtle Art of Not Giving a F*ck",Mark Manson,9780062457714
"Sapiens: A Brief History of Humankind",Yuval Noah Harari,9780062316097
"Leonardo da Vinci",Walter Isaacson,9781501139154
"Grant",Ron Chernow,9781594204877
"What Happened",Hillary Rodham Clinton,9781501175565
"Promise Me, Dad",Joe Biden,9781250171672
"Option B",Sheryl Sandberg & Adam Grant,9781524732685
"Principles: Life and Work",Ray Dalio,9781501128325
"The Book of Dust: La Belle Sauvage",Philip Pullman,9780375815300
"Manhattan Beach",Jennifer Egan,9781476716732
"My Absolute Darling",Gabriel Tallent,9780735211179
"Stay with Me",Ayobami Adebayo,9780345804938
"4 3 2 1",Paul Auster,9780805098716
"The Ministry of Utmost Happiness",Arundhati Roy,9781101973417
"The Idiot",Elif Batuman,9781594205614
"Her Body and Other Parties",Carmen Maria Machado,9781555977887
"Priestdaddy",Patricia Lockwood,9781594634765
"We Were Eight Years in Power",Ta-Nehisi Coates,9780399590566
"The Radium Girls",Kate Moore,9781492649359
"You Don't Have to Say You Love Me",Sherman Alexie,9780316243070